School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Rock Bridge,5.57,7.63,13.2,7,4,1
Troy Buchanan,5.49,7.66,13.15,8,3,2
Holt,5.72,7.4,13.13,5,6,3
Helias Catholic,4.83,7.62,12.46,12,5,4
Blair Oaks,4.23,7.67,11.91,18,2,5
Ft. Zumwalt West,5.64,5.94,11.57,6,13,6
Blue Springs South,5.43,6.04,11.46,10,11,7
Liberty,6.51,4.5,11.0,2,41,8
Raymore-Peculiar,3.24,7.7,10.94,34,1,9
Northwest (Cedar Hill),6.73,3.63,10.36,1,64,10
Notre Dame (Cape Girardeau),5.48,4.81,10.28,9,34,11
Webb City,4.37,5.85,10.22,16,16,12
Marceline,6.29,3.91,10.2,3,55,13
Blue Springs,4.12,6.08,10.2,19,9,14
Eureka,4.61,5.36,9.97,14,25,15
Canton,3.8,6.07,9.88,23,10,16
Park Hill,3.07,6.54,9.61,41,8,17
Oakville,4.38,5.17,9.55,15,27,18
Lee's Summit North,3.77,5.62,9.39,25,20,19
Southern Boone,3.43,5.95,9.38,31,12,20
Liberty North,3.78,5.57,9.36,24,21,21
Kickapoo,5.79,3.24,9.03,4,73,22
Eugene,4.77,3.99,8.76,13,52,23
Rockwood Summit,5.07,3.47,8.54,11,69,24
Jefferson City,2.63,5.86,8.49,50,15,25
Battle,2.67,5.72,8.39,49,17,26
McDonald County,3.12,5.22,8.34,38,26,27
Father Tolton,1.05,7.26,8.31,102,7,28
Seckman,2.78,5.52,8.3,47,23,29
Fulton,4.3,4.0,8.29,17,51,30
Francis Howell Central,3.57,4.69,8.27,28,37,31
Palmyra,3.34,4.9,8.24,33,31,32
Webster Groves,3.11,5.1,8.21,39,29,33
Penney,2.42,5.63,8.05,54,19,34
Mexico,3.24,4.69,7.93,35,38,35
Fatima,2.13,5.64,7.77,66,18,36
Ozark,3.85,3.91,7.76,22,56,37
Warsaw,3.16,4.5,7.66,37,40,38
Jackson,3.66,3.93,7.59,27,53,39
Kirksville,1.96,5.54,7.5,74,22,40
Park Hill South,3.98,3.4,7.37,21,71,41
Hillsboro,2.89,4.22,7.11,45,48,42
Logan-Rogersville,2.92,4.15,7.07,42,50,43
Bolivar,2.22,4.62,6.84,63,39,44
Sherwood,0.87,5.93,6.8,113,14,45
Bowling Green,4.04,2.7,6.73,20,88,46
Incarnate Word Academy,3.22,3.51,6.73,36,67,47
Lafayette (Wildwood),2.36,4.28,6.64,57,45,48
Wright City,1.8,4.84,6.64,76,32,49
Marquette,2.33,4.29,6.63,58,44,50
Parkway South,2.23,4.27,6.5,61,46,51
Monroe City,2.82,3.67,6.5,46,61,52
Schuyler County,1.68,4.78,6.46,79,35,53
Perryville,1.68,4.74,6.43,78,36,54
Staley,3.45,2.95,6.4,30,85,55
Grain Valley,2.47,3.83,6.3,53,59,56
Reeds Spring,0.75,5.47,6.22,117,24,57
Highland,0.99,5.14,6.13,106,28,58
Putnam County,1.3,4.82,6.12,93,33,59
Timberland,2.9,3.09,5.99,43,78,60
North County,3.38,2.56,5.94,32,90,61
Lee's Summit West,1.72,4.16,5.87,77,49,62
St. Joseph's Academy,1.22,4.41,5.63,97,43,63
Clark County,3.52,2.1,5.62,29,100,64
Fayette,1.98,3.55,5.54,73,65,65
Cor Jesu Academy,2.0,3.52,5.52,72,66,66
Lee's Summit,2.54,2.96,5.5,51,84,67
Neosho,2.06,3.38,5.45,69,72,68
Republic,2.4,3.04,5.43,55,79,69
Centralia,3.67,1.59,5.26,26,116,70
Warrenton,0.19,5.07,5.25,132,30,71
Trenton,2.01,3.18,5.19,71,76,72
Nevada,2.72,2.27,4.99,48,95,73
Farmington,2.38,2.54,4.92,56,91,74
Carthage,1.0,3.89,4.89,105,57,75
