School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Helias Catholic,4.83,7.62,12.46,2,2,1
Blair Oaks,4.23,7.67,11.91,4,1,2
Notre Dame (Cape Girardeau),5.48,4.81,10.28,1,9,3
Southern Boone,3.43,5.95,9.38,5,3,4
McDonald County,3.12,5.22,8.34,9,6,5
Fulton,4.3,4.0,8.29,3,15,6
Mexico,3.24,4.69,7.93,7,11,7
Kirksville,1.96,5.54,7.5,17,4,8
Hillsboro,2.89,4.22,7.11,11,13,9
Logan-Rogersville,2.92,4.15,7.07,10,14,10
Bolivar,2.22,4.62,6.84,14,12,11
Incarnate Word Academy,3.22,3.51,6.73,8,17,12
Wright City,1.8,4.84,6.64,19,8,13
Perryville,1.68,4.74,6.43,20,10,14
Reeds Spring,0.75,5.47,6.22,34,5,15
North County,3.38,2.56,5.94,6,24,16
Warrenton,0.19,5.07,5.25,39,7,17
Nevada,2.72,2.27,4.99,12,26,18
St. Charles,1.19,3.66,4.85,30,16,19
Monett,1.44,3.22,4.65,26,18,20
Windsor (Imperial),1.5,2.92,4.42,24,21,21
Union,0.92,3.21,4.13,33,19,22
St. Dominic,2.12,1.93,4.05,16,28,23
Hannibal,2.29,1.62,3.92,13,31,24
Notre Dame (St. Louis),0.71,2.4,3.12,35,25,25
Pacific,1.63,1.25,2.88,21,33,26
Moberly,-0.1,2.87,2.77,46,22,27
Excelsior Springs,1.54,1.22,2.76,23,34,28
Festus,2.12,0.58,2.7,15,41,29
Rosati-Kain,1.55,0.95,2.5,22,37,30
Savannah,0.54,1.97,2.5,36,27,31
Seneca,-0.74,2.97,2.22,55,20,32
Pleasant Hill,-0.47,2.63,2.16,52,23,33
Chillicothe,1.3,0.76,2.06,28,40,34
Odessa,1.87,-0.14,1.72,18,46,35
West Plains,0.45,1.12,1.57,37,35,36
Boonville,1.49,0.06,1.55,25,43,37
Osage,-0.44,1.93,1.49,51,29,38
Affton,-0.29,1.73,1.44,50,30,39
Warrensburg,-0.1,1.42,1.32,47,32,40
Oak Grove,1.3,-0.11,1.18,29,45,41
Owensville,-0.04,0.9,0.87,44,38,42
Lutheran South,-0.17,0.86,0.69,49,39,43
Marshall,1.36,-1.02,0.34,27,56,44
Winfield,1.16,-0.97,0.2,31,54,45
DeSoto,1.11,-1.23,-0.12,32,57,46
Benton,-0.6,0.13,-0.47,54,42,47
Sikeston,-0.06,-0.8,-0.86,45,52,48
Parkway North,-0.59,-0.27,-0.87,53,49,49
Capital City,-2.37,1.05,-1.32,66,36,50
Orchard Farm,-0.01,-1.39,-1.4,43,58,51
Carl Junction,-1.28,-0.22,-1.5,61,48,52
Eldon,-0.0,-1.62,-1.63,42,59,53
Ursuline Academy,-1.04,-0.72,-1.76,58,51,54
Lafayette (St. Joseph),-1.86,0.03,-1.83,62,44,55
Cameron,-1.16,-0.82,-1.98,60,53,56
Harrisonville,0.09,-2.4,-2.31,40,61,57
Smithville,-2.36,-0.16,-2.52,65,47,58
Westminster Christian Academy,-0.1,-2.55,-2.65,48,63,59
Buffalo,0.24,-3.03,-2.8,38,64,60
Hillcrest,-2.14,-0.7,-2.84,63,50,61
Aurora,-1.09,-2.15,-3.24,59,60,62
St. Clair,-2.31,-1.02,-3.32,64,55,63
Cassville,-0.93,-2.46,-3.39,56,62,64
Marshfield,0.05,-3.55,-3.5,41,66,65
Salem,-1.01,-3.14,-4.15,57,65,66
Fredericktown,-3.23,-4.94,-8.17,67,68,67
Notre Dame de Sion,-4.32,-4.04,-8.35,70,67,68
St. James,-3.51,-7.16,-10.67,68,69,69
Clinton,-3.99,-11.19,-15.18,69,72,70
University City,-6.6,-8.76,-15.36,73,70,71
Raytown South,-5.7,-9.7,-15.4,72,71,72
St. Michael the Archangel,-5.64,-13.37,-19.01,71,74,73
Clayton,-10.46,-11.65,-22.11,77,73,74
Hazelwood East,-7.46,-15.02,-22.49,75,75,75
McCluer,-8.87,-17.2,-26.08,76,77,76
Bayless,-6.86,-19.94,-26.8,74,80,77
Winnetonka,-12.22,-15.06,-27.28,78,76,78
Riverview Gardens,-13.03,-17.59,-30.62,79,78,79
Jennings,-14.78,-18.8,-33.58,81,79,80
Normandy Collaborative,-14.66,-23.94,-38.6,80,82,81
Soldan International Studies,-20.43,-21.45,-41.89,82,81,82
