Date,Home Team,Home Score,Away Team,Away Score
2019-08-03,St. Teresa's Academy,6,Belton,12
2019-08-03,St. Teresa's Academy,9,Odessa,8
2019-08-30,Hillcrest,13,Aurora,4
2019-08-30,Liberty (Wentzville),2,Battle,9
2019-08-30,Lee's Summit North,9,Belton,0
2019-08-30,Holden,11,Belton,6
2019-08-30,Bolivar,10,Camdenton,1
2019-08-30,McDonald County,5,Carthage,1
2019-08-30,Alton,1,Dora,11
2019-08-30,Seckman,12,Farmington,2
2019-08-30,Helias Catholic,0,Father Tolton,1
2019-08-30,Sikeston,10,Fox,2
2019-08-30,Winfield,0,Francis Howell Central,7
2019-08-30,Warrenton,3,Ft. Zumwalt South,4
2019-08-30,Troy Buchanan,2,Ft. Zumwalt South,0
2019-08-30,Timberland,16,Ft. Zumwalt South,3
2019-08-30,Brashear,8,Green City,10
2019-08-30,Timberland,10,Hannibal,0
2019-08-30,St. Teresa's Academy,4,Harrisonville,10
2019-08-30,Kearney,15,Harrisonville,0
2019-08-30,Warrenton,3,Highland,0
2019-08-30,Lee's Summit North,5,Holden,2
2019-08-30,St. Teresa's Academy,3,Kearney,4
2019-08-30,Odessa,0,Lee's Summit,19
2019-08-30,Platte County,3,Lee's Summit,2
2019-08-30,Warsaw,3,Lee's Summit West,1
2019-08-30,Pleasant Hill,5,Lee's Summit West,3
2019-08-30,William Chrisman,0,Liberty,19
2019-08-30,Smithville,3,Liberty,4
2019-08-30,Republic,4,Monett,3
2019-08-30,North Harrison,15,Northeast Nodaway,0
2019-08-30,Madison,5,Novinger,6
2019-08-30,Park Hill,9,Oak Grove,0
2019-08-30,Raytown South,2,Oak Grove,21
2019-08-30,Platte County,7,Odessa,5
2019-08-30,Jefferson City,6,Ozark,2
2019-08-30,Raytown South,2,Park Hill,19
2019-08-30,Warsaw,13,Pleasant Hill,1
2019-08-30,Grain Valley,1,Raymore-Peculiar,6
2019-08-30,East Carter,6,Salem,4
2019-08-30,St. Dominic,1,Troy Buchanan,4
2019-08-30,William Chrisman,0,St. Charles,14
2019-08-30,Smithville,16,St. Charles,2
2019-08-30,Doniphan,9,Van Buren,0
2019-08-31,Lee's Summit West,12,Belton,2
2019-08-31,St. Teresa's Academy,5,Belton,12
2019-08-31,Mansfield,1,Bolivar,6
2019-08-31,Wright City,8,Boonville,2
2019-08-31,Weaubleau,6,Buffalo,5
2019-08-31,Smithville,4,Buffalo,1
2019-08-31,Mansfield,4,Camdenton,9
2019-08-31,Bolivar,9,Camdenton,1
2019-08-31,Logan-Rogersville,10,Camdenton,1
2019-08-31,Perryville,9,Doniphan,0
2019-08-31,Central (Cape Girardeau),3,Doniphan,2
2019-08-31,Winfield,0,Francis Howell Central,7
2019-08-31,Waynesville,7,Glendale,12
2019-08-31,Smithville,8,Grain Valley,14
2019-08-31,Fort Osage,21,Grandview,0
2019-08-31,Oak Grove,6,Harrisonville,9
2019-08-31,Pleasant Hill,4,Harrisonville,11
2019-08-31,Grain Valley,9,Harrisonville,5
2019-08-31,Pleasant Hill,3,Holden,14
2019-08-31,Lee's Summit,8,Holden,9
2019-08-31,Grain Valley,17,Holden,0
2019-08-31,Smithville,1,Iberia,14
2019-08-31,Weaubleau,1,Iberia,5
2019-08-31,Warsaw,11,Kearney,1
2019-08-31,Eugene,6,Kirksville,5
2019-08-31,William Chrisman,0,Lee's Summit,21
2019-08-31,Smithville,3,Lee's Summit,2
2019-08-31,Platte County,9,Lee's Summit North,2
2019-08-31,Liberty,6,Lee's Summit North,5
2019-08-31,Kearney,8,Lee's Summit North,6
2019-08-31,Raytown South,1,Lee's Summit West,17
2019-08-31,Warsaw,3,Liberty,12
2019-08-31,Raymore-Peculiar,5,Liberty,3
2019-08-31,Mansfield,0,Logan-Rogersville,12
2019-08-31,Bolivar,12,Logan-Rogersville,4
2019-08-31,West Plains,11,Marshfield,3
2019-08-31,Hartville,2,Marshfield,9
2019-08-31,Fayette,3,Moberly,5
2019-08-31,Glendale,1,Nixa,8
2019-08-31,Waynesville,11,Nixa,16
2019-08-31,William Chrisman,13,Oak Grove,19
2019-08-31,Smithville,6,Oak Grove,9
2019-08-31,Raytown South,2,Oak Grove,21
2019-08-31,St. Teresa's Academy,9,Odessa,8
2019-08-31,Raytown South,0,Odessa,22
2019-08-31,Kearney,0,Park Hill,7
2019-08-31,St. Charles,0,Park Hill,10
2019-08-31,Raymore-Peculiar,2,Park Hill,5
2019-08-31,Marion C. Early,12,Parkview,1
2019-08-31,Raymore-Peculiar,7,Platte County,2
2019-08-31,St. Charles,5,Platte County,0
2019-08-31,New Franklin,5,Savannah,11
2019-08-31,Warsaw,0,St. Charles,2
2019-08-31,Hartville,3,West Plains,13
2019-08-31,Pleasant Hill,6,William Chrisman,3
2019-09-02,Park Hill South,10,Battle,11
2019-09-02,St. Dominic,8,Bowling Green,4
2019-09-02,Liberty (Wentzville),1,Bowling Green,4
2019-09-02,Winfield,3,Bowling Green,8
2019-09-02,Palmyra,3,Francis Howell Central,4
2019-09-02,Timberland,5,Francis Howell Central,14
2019-09-02,Troy Buchanan,19,Francis Howell Central,1
2019-09-02,Timberland,16,Ft. Zumwalt South,3
2019-09-02,Troy Buchanan,2,Ft. Zumwalt South,0
2019-09-02,Warrenton,3,Ft. Zumwalt South,4
2019-09-02,Troy Buchanan,12,Fulton,0
2019-09-02,Warrenton,2,Fulton,11
2019-09-02,Palmyra,8,Fulton,2
2019-09-02,Palmyra,7,Hannibal,3
2019-09-02,Warrenton,2,Hannibal,4
2019-09-02,Timberland,10,Hannibal,0
2019-09-02,Trenton,1,Putnam County,4
2019-09-02,Fatima,1,Rock Bridge,2
2019-09-02,Liberty (Wentzville),6,St. Dominic,3
2019-09-02,St. Dominic,13,Winfield,4
2019-09-02,Liberty (Wentzville),2,Winfield,12
2019-09-03,Neelyville,19,Alton,3
2019-09-03,Gainesville,3,Ava,13
2019-09-03,Helias Catholic,5,Battle,1
2019-09-03,Northeast (Cairo),7,Bevier,0
2019-09-03,Veritas Christian Academy,12,Bishop DuBourg,2
2019-09-03,Mid-Buchanan,19,Bishop LeBlond,1
2019-09-03,Savannah,5,Bolivar,7
2019-09-03,Weaubleau,1,Branson,6
2019-09-03,Penney,15,Brookfield,1
2019-09-03,Republic,16,Buffalo,2
2019-09-03,Belle,0,California,10
2019-09-03,Clopton,0,Canton,15
2019-09-03,Owensville,6,Capital City,1
2019-09-03,Schuyler County,11,Carrollton,1
2019-09-03,St. Vincent,0,Central (Cape Girardeau),15
2019-09-03,Blair Oaks,14,Centralia,0
2019-09-03,St. Dominic,6,Cor Jesu Academy,13
2019-09-03,Laquey,2,Crocker,15
2019-09-03,Rolla,21,Cuba,11
2019-09-03,St. James,2,DeKalb,12
2019-09-03,North County,11,DeSoto,9
2019-09-03,Norwood,4,Dora,5
2019-09-03,Cameron,4,Excelsior Springs,15
2019-09-03,Festus,9,Farmington,13
2019-09-03,St. Charles,3,Fort Osage,6
2019-09-03,Parkway West,4,Francis Howell North,6
2019-09-03,Kirkwood,13,Francis Howell North,6
2019-09-03,Ft. Zumwalt North,0,Ft. Zumwalt East,5
2019-09-03,Washington,5,Ft. Zumwalt South,6
2019-09-03,Parkway Central,1,Ft. Zumwalt West,14
2019-09-03,Pattonville,1,Ft. Zumwalt West,10
2019-09-03,Eldon,4,Fulton,16
2019-09-03,Milan,14,Gallatin,3
2019-09-03,Salem,14,Glasgow,10
2019-09-03,North Kansas City,17,Grandview,14
2019-09-03,Russellville,17,Harrisburg,5
2019-09-03,Halfway,14,Hartville,12
2019-09-03,Incarnate Word Academy,18,Hazelwood Central,0
2019-09-03,Montgomery County,14,Hermann,4
2019-09-03,Bowling Green,12,Highland,4
2019-09-03,Camdenton,6,Hillcrest,7
2019-09-03,Ritenour,1,Hillsboro,11
2019-09-03,Parkway South,8,Hillsboro,9
2019-09-03,Seckman,0,Holt,10
2019-09-03,Newburg,0,Iberia,15
2019-09-03,Northwest (Cedar Hill),10,Jefferson (Festus),6
2019-09-03,Waynesville,0,Kickapoo,17
2019-09-03,Clark County,5,Kirksville,8
2019-09-03,Parkway West,3,Kirkwood,2
2019-09-03,North Shelby,7,Knox County,10
2019-09-03,Westminster Christian Academy,11,Ladue Horton Watkins,1
2019-09-03,Reeds Spring,12,Lamar,1
2019-09-03,Richmond,3,Lawson,2
2019-09-03,Willard,8,Lebanon,1
2019-09-03,Sherwood,14,Lexington,0
2019-09-03,Aurora,0,Logan-Rogersville,15
2019-09-03,Palmyra,11,Louisiana,0
2019-09-03,Hancock,3,Lutheran South,5
2019-09-03,Hallsville,5,Macon,9
2019-09-03,Bakersfield,4,Mansfield,14
2019-09-03,Hermitage,1,Marion C. Early,22
2019-09-03,Monroe City,15,Mark Twain,4
2019-09-03,Mehlville,0,Marquette,10
2019-09-03,Parkway North,2,Marquette,4
2019-09-03,Lathrop,6,Maryville,3
2019-09-03,Princeton,1,Maysville,4
2019-09-03,Riverview Gardens,6,McCluer North,21
2019-09-03,East Newton,1,McDonald County,5
2019-09-03,Green City,15,Meadville,9
2019-09-03,Parkway North,7,Mehlville,4
2019-09-03,Marshall,0,Mexico,15
2019-09-03,Marceline,2,Moberly,4
2019-09-03,Marshfield,5,Monett,15
2019-09-03,Cassville,3,Nevada,13
2019-09-03,New Haven,1,New Bloomfield,11
2019-09-03,Worth County,8,North Andrew,2
2019-09-03,Slater,6,North Callaway,8
2019-09-03,Jackson,2,Notre Dame (Cape Girardeau),4
2019-09-03,Marion County,19,Novinger,5
2019-09-03,Tuscumbia,5,Osage,11
2019-09-03,West Plains,1,Ozark,13
2019-09-03,Glendale,23,Parkview,3
2019-09-03,Pattonville,6,Parkway Central,6
2019-09-03,Ritenour,0,Parkway South,16
2019-09-03,Platte County,16,Raytown South,1
2019-09-03,Dixon,13,Richland,10
2019-09-03,Summit Christian Academy,26,Ruskin,0
2019-09-03,La Plata,7,Schuyler County,3
2019-09-03,Carthage,13,Seneca,4
2019-09-03,Naylor,7,Sikeston,5
2019-09-03,Polo,1,St. Elizabeth,16
2019-09-03,Fatima,1,Southern Boone,2
2019-09-03,Pilot Grove,7,Van-Far,10
2019-09-03,Rockwood Summit,11,St. Joseph's Academy,1
2019-09-03,West Platte,14,St. Pius X (Kansas City),0
2019-09-03,Liberty North,12,St. Teresa's Academy,0
2019-09-03,Blue Springs South,11,Staley,8
2019-09-03,Albany,3,Vienna,6
2019-09-03,Silex,15,Worth County,1
2019-09-03,Liberty (Wentzville),1,Timberland,11
2019-09-03,Francis Howell,1,Troy Buchanan,14
2019-09-03,Van Buren,4,St. Clair,5
2019-09-03,Herculaneum,5,Valley Park,8
2019-09-03,Jamestown,2,Versailles,12
2019-09-03,St. James,0,Vienna,15
2019-09-03,Clinton,0,Warrensburg,13
2019-09-03,Winfield,5,Warrenton,15
2019-09-03,Knob Noster,1,Warsaw,5
2019-09-03,East Carter,10,Willow Springs,1
2019-09-04,Moberly,1,Battle,3
2019-09-04,Valley Park,3,Bishop DuBourg,12
2019-09-04,Bayless,6,Brentwood,16
2019-09-04,Lafayette County,6,Cameron,1
2019-09-04,Camdenton,19,Central (Springfield),0
2019-09-04,Notre Dame (Cape Girardeau),14,Chaffee,0
2019-09-04,Nerinx Hall,20,Clayton,18
2019-09-04,Cor Jesu Academy,4,Eureka,1
2019-09-04,Union,6,Farmington,7
2019-09-04,Northwest (Cedar Hill),15,Festus,7
2019-09-04,Parkway North,2,Ft. Zumwalt West,9
2019-09-04,Marquette,4,Ft. Zumwalt West,6
2019-09-04,Lee's Summit,13,Harrisonville,2
2019-09-04,Fredericktown,6,Herculaneum,0
2019-09-04,Parkway West,3,Hillsboro,4
2019-09-04,Kirkwood,2,Hillsboro,6
2019-09-04,Ft. Zumwalt South,4,Holt,8
2019-09-04,Naylor,0,Jackson,11
2019-09-04,Liberty,12,Kearney,1
2019-09-04,Parkway South,4,Kirkwood,2
2019-09-04,St. Teresa's Academy,9,Lafayette (St. Joseph),10
2019-09-04,Hazelwood West,0,Lafayette (Wildwood),6
2019-09-04,Ursuline Academy,4,Lutheran South,8
2019-09-04,Jennings,1,Maplewood-Richmond Hts.,12
2019-09-04,Hallsville,12,Mark Twain,0
2019-09-04,Pattonville,0,Marquette,14
2019-09-04,Parkway Central,5,Mehlville,8
2019-09-04,Poplar Bluff,5,North County,15
2019-09-04,Fort Osage,20,North Kansas City,2
2019-09-04,Bishop LeBlond,0,North Platte,15
2019-09-04,Hancock,0,Notre Dame (St. Louis),14
2019-09-04,Fox,3,Oakville,4
2019-09-04,Pattonville,13,Parkway North,10
2019-09-04,Parkway West,4,Parkway South,1
2019-09-04,Helias Catholic,16,Rolla,7
2019-09-04,Rockwood Summit,1,Seckman,0
2019-09-04,Boonville,0,Southern Boone,10
2019-09-04,Webb City,17,St. Joseph's Academy,1
2019-09-04,Salem,16,St. James,0
2019-09-04,Blue Springs,2,Staley,10
2019-09-04,Lindbergh,1,Webster Groves,15
2019-09-04,Clopton,16,Wellsville-Middletown,6
2019-09-04,Marion C. Early,0,West Plains,11
2019-09-04,Grandview,19,Winnetonka,4
2019-09-04,Hardin-Central,10,Winston,4
2019-09-04,St. Clair,1,Wright City,14
2019-09-05,Salem,15,Alton,5
2019-09-05,Lamar,3,Aurora,2
2019-09-05,Dora,7,Ava,6
2019-09-05,Cameron,21,Bishop LeBlond,1
2019-09-05,Nixa,4,Bolivar,5
2019-09-05,Hallsville,12,Boonville,4
2019-09-05,Logan-Rogersville,12,Branson,0
2019-09-05,North Shelby,12,Brashear,1
2019-09-05,El Dorado Springs,25,Buffalo,15
2019-09-05,Glendale,17,Camdenton,2
2019-09-05,Notre Dame (Cape Girardeau),16,Central (Cape Girardeau),3
2019-09-05,Notre Dame (Cape Girardeau),17,Chaffee,2
2019-09-05,Lawson,8,Chillicothe,18
2019-09-05,Savannah,21,Clinton,9
2019-09-05,Hermann,1,Community,11
2019-09-05,Lindbergh,9,Cor Jesu Academy,8
2019-09-05,Iberia,8,Crocker,6
2019-09-05,Westran,9,Dixon,1
2019-09-05,Wright City,11,Elsberry,6
2019-09-05,Rockwood Summit,15,Eureka,5
2019-09-05,Slater,0,Father Tolton,6
2019-09-05,Osage,0,Fatima,6
2019-09-05,Worth County,2,Fayette,15
2019-09-05,Francis Howell Central,13,Francis Howell,2
2019-09-05,Parkway Central,16,Francis Howell Central,8
2019-09-05,Ritenour,12,Francis Howell North,5
2019-09-05,Parkway Central,16,Francis Howell North,8
2019-09-05,Ft. Zumwalt South,11,Ft. Zumwalt North,1
2019-09-05,Hillsboro,4,Ft. Zumwalt West,5
2019-09-05,Willow Springs,8,Gainesville,10
2019-09-05,Fort Osage,21,Grandview,0
2019-09-05,Climax Springs,0,Halfway,10
2019-09-05,Brentwood,0,Hancock,10
2019-09-05,Lexington,3,Hardin-Central,13
2019-09-05,Gateway Science Charter,1,Herculaneum,20
2019-09-05,La Plata,18,Higbee,4
2019-09-05,Hermitage,30,Humansville,15
2019-09-05,Perryville,4,Jackson,5
2019-09-05,East Carter,7,Kelly,0
2019-09-05,Willard,4,Kickapoo,5
2019-09-05,Parkway North,1,Kirkwood,5
2019-09-05,Versailles,0,Knob Noster,10
2019-09-05,Canton,15,Knox County,3
2019-09-05,North Platte,3,Lafayette (St. Joseph),2
2019-09-05,Penney,4,Lafayette County,0
2019-09-05,Carrollton,14,Lathrop,5
2019-09-05,Ft. Zumwalt East,13,Liberty (Wentzville),0
2019-09-05,Lee's Summit North,6,Liberty North,2
2019-09-05,Owensville,6,Linn,7
2019-09-05,Bowling Green,13,Louisiana,0
2019-09-05,Monroe City,9,Macon,8
2019-09-05,Lebanon,9,Mansfield,3
2019-09-05,Atlanta,10,Marion County,0
2019-09-05,Parkway West,2,Marquette,4
2019-09-05,Fulton,17,Marshall,1
2019-09-05,McDonald County,15,Marshfield,1
2019-09-05,Norborne,15,Meadville,8
2019-09-05,Ritenour,17,Mehlville,2
2019-09-05,Parkway Central,5,Mehlville,9
2019-09-05,St. Pius X (Kansas City),5,Mid-Buchanan,10
2019-09-05,Putnam County,4,Milan,1
2019-09-05,Kirksville,7,Moberly,1
2019-09-05,Silex,12,Montgomery County,3
2019-09-05,Cassville,3,Neosho,13
2019-09-05,Cuba,5,New Haven,15
2019-09-05,Laquey,22,Newburg,1
2019-09-05,Van-Far,5,North Callaway,20
2019-09-05,Farmington,3,North County,4
2019-09-05,Pacific,6,Northwest (Cedar Hill),21
2019-09-05,St. Joseph's Academy,11,Notre Dame (St. Louis),1
2019-09-05,St. Charles,10,Notre Dame de Sion,0
2019-09-05,Webster Groves,4,Oakville,6
2019-09-05,William Chrisman,5,Odessa,12
2019-09-05,Winfield,10,Orchard Farm,7
2019-09-05,Rock Bridge,4,Ozark,5
2019-09-05,Mark Twain,0,Palmyra,10
2019-09-05,West Plains,17,Parkview,0
2019-09-05,Pattonville,2,Parkway South,6
2019-09-05,Albany,8,Pattonsburg,1
2019-09-05,Schuyler County,21,Pilot Grove,0
2019-09-05,Excelsior Springs,4,Platte County,8
2019-09-05,Gallatin,7,Polo,4
2019-09-05,St. Elizabeth,3,Princeton,9
2019-09-05,Nevada,2,Reeds Spring,6
2019-09-05,Hazelwood Central,24,Riverview Gardens,0
2019-09-05,Raytown South,16,Ruskin,1
2019-09-05,California,4,Russellville,0
2019-09-05,Clark County,14,Scotland County,3
2019-09-05,Bakersfield,16,Smithville,7
